runs,balls,boundaries,dots,strike_rate,boundary_percentage
659.0,495,0,0,133.13131313131314,0.0
212.0,212,0,0,100.0,0.0
85.0,85,0,0,100.0,0.0
2.0,6,0,0,33.33333333333333,0.0
346.0,342,0,0,101.16959064327486,0.0
31.0,35,0,0,88.57142857142857,0.0
14.0,21,0,0,66.66666666666666,0.0
11.0,19,0,0,57.89473684210527,0.0
50.0,59,0,0,84.7457627118644,0.0
732.0,549,0,0,133.33333333333331,0.0
56.0,54,0,0,103.7037037037037,0.0
24.0,22,0,0,109.09090909090908,0.0
49.0,45,0,0,108.88888888888889,0.0
233.0,209,0,0,111.48325358851675,0.0
453.0,354,0,0,127.96610169491525,0.0
177.0,124,0,0,142.74193548387098,0.0
278.0,196,0,0,141.83673469387753,0.0
491.0,440,0,0,111.5909090909091,0.0
578.0,501,0,0,115.36926147704591,0.0
1107.0,839,0,0,131.94278903456495,0.0
37.0,32,0,0,115.625,0.0
167.0,135,0,0,123.7037037037037,0.0
39.0,47,0,0,82.97872340425532,0.0
290.0,279,0,0,103.94265232974911,0.0
1191.0,923,0,0,129.03575297941495,0.0
50.0,41,0,0,121.95121951219512,0.0
11.0,13,0,0,84.61538461538461,0.0
388.0,312,0,0,124.35897435897436,0.0
4.0,11,0,0,36.36363636363637,0.0
2.0,2,0,0,100.0,0.0
117.0,82,0,0,142.6829268292683,0.0
2.0,12,0,0,16.666666666666664,0.0
3.0,6,0,0,50.0,0.0
64.0,84,0,0,76.19047619047619,0.0
1.0,1,0,0,100.0,0.0
121.0,124,0,0,97.58064516129032,0.0
26.0,23,0,0,113.04347826086956,0.0
23.0,29,0,0,79.3103448275862,0.0
636.0,525,0,0,121.14285714285715,0.0
115.0,96,0,0,119.79166666666667,0.0
107.0,108,0,0,99.07407407407408,0.0
188.0,165,0,0,113.93939393939394,0.0
614.0,631,0,0,97.30586370839937,0.0
307.0,220,0,0,139.54545454545456,0.0
203.0,159,0,0,127.67295597484276,0.0
18.0,30,0,0,60.0,0.0
1.0,2,0,0,50.0,0.0
212.0,204,0,0,103.921568627451,0.0
6.0,19,0,0,31.57894736842105,0.0
87.0,92,0,0,94.56521739130434,0.0
7.0,12,0,0,58.333333333333336,0.0
38.0,57,0,0,66.66666666666666,0.0
76.0,73,0,0,104.10958904109589,0.0
19.0,17,0,0,111.76470588235294,0.0
1074.0,926,0,0,115.98272138228943,0.0
119.0,125,0,0,95.19999999999999,0.0
3.0,6,0,0,50.0,0.0
119.0,111,0,0,107.2072072072072,0.0
53.0,48,0,0,110.41666666666667,0.0
145.0,150,0,0,96.66666666666667,0.0
646.0,553,0,0,116.81735985533454,0.0
137.0,119,0,0,115.12605042016806,0.0
1391.0,1076,0,0,129.27509293680296,0.0
68.0,60,0,0,113.33333333333333,0.0
103.0,105,0,0,98.09523809523809,0.0
19.0,13,0,0,146.15384615384613,0.0
46.0,66,0,0,69.6969696969697,0.0
59.0,58,0,0,101.72413793103448,0.0
20.0,18,0,0,111.11111111111111,0.0
73.0,78,0,0,93.58974358974359,0.0
386.0,347,0,0,111.23919308357348,0.0
2.0,8,0,0,25.0,0.0
4.0,2,0,0,200.0,0.0
39.0,53,0,0,73.58490566037736,0.0
36.0,32,0,0,112.5,0.0
1060.0,834,0,0,127.09832134292567,0.0
114.0,105,0,0,108.57142857142857,0.0
2.0,5,0,0,40.0,0.0
965.0,795,0,0,121.38364779874213,0.0
25.0,33,0,0,75.75757575757575,0.0
714.0,666,0,0,107.2072072072072,0.0
0.0,10,0,0,0.0,0.0
14.0,13,0,0,107.6923076923077,0.0
2.0,4,0,0,50.0,0.0
288.0,236,0,0,122.03389830508475,0.0
33.0,53,0,0,62.264150943396224,0.0
27.0,31,0,0,87.09677419354838,0.0
3.0,4,0,0,75.0,0.0
145.0,115,0,0,126.08695652173914,0.0
423.0,352,0,0,120.17045454545455,0.0
49.0,58,0,0,84.48275862068965,0.0
20.0,16,0,0,125.0,0.0
6.0,16,0,0,37.5,0.0
131.0,134,0,0,97.76119402985076,0.0
2.0,2,0,0,100.0,0.0
1031.0,977,0,0,105.52712384851586,0.0
24.0,19,0,0,126.3157894736842,0.0
1.0,2,0,0,50.0,0.0
1008.0,731,0,0,137.89329685362517,0.0
1.0,2,0,0,50.0,0.0
1595.0,1166,0,0,136.7924528301887,0.0
34.0,48,0,0,70.83333333333334,0.0
196.0,208,0,0,94.23076923076923,0.0
2.0,6,0,0,33.33333333333333,0.0
9.0,14,0,0,64.28571428571429,0.0
241.0,191,0,0,126.17801047120419,0.0
147.0,116,0,0,126.72413793103448,0.0
196.0,171,0,0,114.61988304093566,0.0
165.0,181,0,0,91.16022099447514,0.0
1497.0,1293,0,0,115.77726218097449,0.0
801.0,567,0,0,141.26984126984127,0.0
6.0,7,0,0,85.71428571428571,0.0
553.0,439,0,0,125.96810933940775,0.0
