batter,bowling_team,runs,balls,strike_rate
Younis Khan,Punjab Kings,3.0,7,42.857142857142854
Yuvraj Singh,Chennai Super Kings,237.0,207,114.4927536231884
Yuvraj Singh,Delhi Capitals,188.0,146,128.76712328767124
Yuvraj Singh,Kochi Tuskers Kerala,8.0,13,61.53846153846154
Yuvraj Singh,Kolkata Knight Riders,177.0,136,130.14705882352942
Yuvraj Singh,Mumbai Indians,84.0,91,92.3076923076923
Yuvraj Singh,Punjab Kings,56.0,32,175.0
Yuvraj Singh,Rajasthan Royals,206.0,142,145.07042253521126
Yuvraj Singh,Royal Challengers Bangalore,167.0,106,157.54716981132074
Yuvraj Singh,Sunrisers Hyderabad,118.0,110,107.27272727272728
Z Khan,Chennai Super Kings,32.0,33,96.96969696969697
Z Khan,Delhi Capitals,4.0,1,400.0
Z Khan,Kolkata Knight Riders,16.0,17,94.11764705882352
Z Khan,Punjab Kings,1.0,6,16.666666666666664
Z Khan,Rajasthan Royals,18.0,26,69.23076923076923
Z Khan,Royal Challengers Bangalore,23.0,9,255.55555555555554
Z Khan,Sunrisers Hyderabad,4.0,9,44.44444444444444
