batter,bowling_team,runs,balls,strike_rate
SL Malinga,Rajasthan Royals,1.0,5,20.0
SL Malinga,Rising Pune Supergiant,19.0,17,111.76470588235294
SL Malinga,Royal Challengers Bangalore,7.0,5,140.0
SM Harwood,Chennai Super Kings,6.0,7,85.71428571428571
SM Harwood,Sunrisers Hyderabad,3.0,7,42.857142857142854
SM Katich,Chennai Super Kings,79.0,55,143.63636363636363
SM Katich,Delhi Capitals,95.0,65,146.15384615384613
SM Katich,Kolkata Knight Riders,34.0,29,117.24137931034481
SM Katich,Mumbai Indians,0.0,2,0.0
SM Katich,Rajasthan Royals,10.0,13,76.92307692307693
SM Katich,Royal Challengers Bangalore,3.0,5,60.0
SM Katich,Sunrisers Hyderabad,20.0,22,90.9090909090909
SM Pollock,Chennai Super Kings,17.0,18,94.44444444444444
SM Pollock,Delhi Capitals,49.0,32,153.125
SM Pollock,Punjab Kings,22.0,22,100.0
SM Pollock,Rajasthan Royals,0.0,1,0.0
SM Pollock,Royal Challengers Bangalore,28.0,12,233.33333333333334
SM Pollock,Sunrisers Hyderabad,31.0,31,100.0
SP Fleming,Delhi Capitals,57.0,44,129.54545454545453
SP Fleming,Kolkata Knight Riders,32.0,21,152.38095238095238
SP Fleming,Mumbai Indians,26.0,29,89.65517241379311
SP Fleming,Punjab Kings,1.0,4,25.0
SP Fleming,Rajasthan Royals,7.0,6,116.66666666666667
SP Fleming,Royal Challengers Bangalore,45.0,40,112.5
SP Fleming,Sunrisers Hyderabad,28.0,27,103.7037037037037
SP Goswami,Chennai Super Kings,10.0,19,52.63157894736842
SP Goswami,Delhi Capitals,92.0,86,106.9767441860465
SP Goswami,Kolkata Knight Riders,98.0,100,98.0
SP Goswami,Mumbai Indians,21.0,32,65.625
SP Goswami,Punjab Kings,10.0,15,66.66666666666666
SP Goswami,Rising Pune Supergiant,6.0,3,200.0
SP Goswami,Royal Challengers Bangalore,1.0,2,50.0
SP Narine,Rajasthan Royals,0.0,1,0.0
SPD Smith,Chennai Super Kings,67.0,45,148.88888888888889
SPD Smith,Delhi Capitals,34.0,14,242.85714285714283
SPD Smith,Kolkata Knight Riders,14.0,16,87.5
SPD Smith,Mumbai Indians,41.0,38,107.89473684210526
SPD Smith,Punjab Kings,38.0,25,152.0
SPD Smith,Rajasthan Royals,18.0,23,78.26086956521739
SPD Smith,Royal Challengers Bangalore,16.0,14,114.28571428571428
SPD Smith,Sunrisers Hyderabad,73.0,41,178.0487804878049
SR Tendulkar,Chennai Super Kings,342.0,289,118.33910034602076
SR Tendulkar,Delhi Capitals,239.0,215,111.16279069767442
SR Tendulkar,Kochi Tuskers Kerala,100.0,71,140.8450704225352
SR Tendulkar,Kolkata Knight Riders,247.0,191,129.3193717277487
SR Tendulkar,Punjab Kings,261.0,232,112.5
SR Tendulkar,Rajasthan Royals,214.0,184,116.30434782608697
SR Tendulkar,Rising Pune Supergiant,93.0,101,92.07920792079209
SR Tendulkar,Royal Challengers Bangalore,223.0,212,105.18867924528301
SR Tendulkar,Sunrisers Hyderabad,230.0,209,110.04784688995215
SR Watson,Chennai Super Kings,150.0,101,148.5148514851485
SR Watson,Delhi Capitals,155.0,96,161.45833333333331
SR Watson,Kochi Tuskers Kerala,69.0,53,130.18867924528303
SR Watson,Kolkata Knight Riders,96.0,68,141.1764705882353
SR Watson,Mumbai Indians,166.0,125,132.8
SR Watson,Punjab Kings,158.0,104,151.9230769230769
SR Watson,Rising Pune Supergiant,102.0,65,156.92307692307693
SR Watson,Royal Challengers Bangalore,163.0,126,129.36507936507937
SR Watson,Sunrisers Hyderabad,67.0,46,145.65217391304347
SS Shaikh,Rajasthan Royals,6.0,7,85.71428571428571
SS Tiwary,Chennai Super Kings,102.0,114,89.47368421052632
SS Tiwary,Delhi Capitals,127.0,100,127.0
SS Tiwary,Kochi Tuskers Kerala,26.0,25,104.0
SS Tiwary,Kolkata Knight Riders,118.0,113,104.42477876106196
SS Tiwary,Mumbai Indians,24.0,23,104.34782608695652
SS Tiwary,Punjab Kings,82.0,74,110.8108108108108
SS Tiwary,Rajasthan Royals,85.0,61,139.34426229508196
SS Tiwary,Rising Pune Supergiant,50.0,31,161.29032258064515
SS Tiwary,Royal Challengers Bangalore,77.0,52,148.0769230769231
SS Tiwary,Sunrisers Hyderabad,58.0,53,109.43396226415094
ST Jayasuriya,Chennai Super Kings,190.0,103,184.46601941747574
ST Jayasuriya,Delhi Capitals,107.0,75,142.66666666666669
ST Jayasuriya,Kolkata Knight Riders,124.0,73,169.86301369863014
ST Jayasuriya,Punjab Kings,25.0,32,78.125
ST Jayasuriya,Rajasthan Royals,96.0,99,96.96969696969697
ST Jayasuriya,Royal Challengers Bangalore,166.0,136,122.05882352941177
ST Jayasuriya,Sunrisers Hyderabad,60.0,55,109.09090909090908
STR Binny,Chennai Super Kings,34.0,27,125.92592592592592
STR Binny,Kolkata Knight Riders,8.0,5,160.0
STR Binny,Punjab Kings,30.0,25,120.0
STR Binny,Royal Challengers Bangalore,20.0,19,105.26315789473684
SW Tait,Chennai Super Kings,1.0,1,100.0
SW Tait,Delhi Capitals,11.0,12,91.66666666666666
SW Tait,Kochi Tuskers Kerala,10.0,9,111.11111111111111
SW Tait,Kolkata Knight Riders,0.0,1,0.0
Salman Butt,Chennai Super Kings,73.0,56,130.35714285714286
Salman Butt,Delhi Capitals,48.0,47,102.12765957446808
Salman Butt,Mumbai Indians,13.0,15,86.66666666666667
Salman Butt,Punjab Kings,24.0,20,120.0
Salman Butt,Rajasthan Royals,31.0,30,103.33333333333334
Salman Butt,Sunrisers Hyderabad,4.0,4,100.0
Shahid Afridi,Chennai Super Kings,21.0,8,262.5
Shahid Afridi,Delhi Capitals,35.0,21,166.66666666666669
Shahid Afridi,Mumbai Indians,0.0,1,0.0
Shahid Afridi,Punjab Kings,13.0,7,185.71428571428572
Shahid Afridi,Rajasthan Royals,11.0,7,157.14285714285714
Shahid Afridi,Royal Challengers Bangalore,1.0,2,50.0
Shakib Al Hasan,Kochi Tuskers Kerala,2.0,5,40.0
Shakib Al Hasan,Mumbai Indians,27.0,18,150.0
Shakib Al Hasan,Punjab Kings,4.0,8,50.0
Shakib Al Hasan,Rajasthan Royals,16.0,10,160.0
Shakib Al Hasan,Royal Challengers Bangalore,4.0,6,66.66666666666666
Shoaib Ahmed,Chennai Super Kings,1.0,2,50.0
Shoaib Ahmed,Delhi Capitals,0.0,4,0.0
Shoaib Akhtar,Mumbai Indians,2.0,8,25.0
Shoaib Malik,Chennai Super Kings,2.0,3,66.66666666666666
Shoaib Malik,Mumbai Indians,24.0,22,109.09090909090908
Shoaib Malik,Punjab Kings,20.0,20,100.0
Shoaib Malik,Royal Challengers Bangalore,6.0,4,150.0
Sohail Tanvir,Chennai Super Kings,9.0,9,100.0
Sohail Tanvir,Delhi Capitals,5.0,5,100.0
Sohail Tanvir,Kolkata Knight Riders,16.0,11,145.45454545454547
Sohail Tanvir,Mumbai Indians,6.0,6,100.0
Sunny Singh,Chennai Super Kings,20.0,11,181.8181818181818
Sunny Singh,Delhi Capitals,2.0,4,50.0
Sunny Singh,Rajasthan Royals,5.0,5,100.0
Sunny Singh,Rising Pune Supergiant,12.0,6,200.0
Sunny Singh,Royal Challengers Bangalore,4.0,5,80.0
T Henderson,Kolkata Knight Riders,0.0,1,0.0
T Henderson,Royal Challengers Bangalore,11.0,15,73.33333333333333
T Kohli,Chennai Super Kings,3.0,3,100.0
T Kohli,Delhi Capitals,7.0,13,53.84615384615385
T Kohli,Kolkata Knight Riders,1.0,4,25.0
T Taibu,Delhi Capitals,7.0,9,77.77777777777779
T Taibu,Royal Challengers Bangalore,15.0,12,125.0
T Taibu,Sunrisers Hyderabad,9.0,5,180.0
T Thushara,Mumbai Indians,1.0,3,33.33333333333333
T Thushara,Punjab Kings,1.0,5,20.0
T Thushara,Rajasthan Royals,2.0,3,66.66666666666666
T Thushara,Sunrisers Hyderabad,8.0,8,100.0
TD Paine,Mumbai Indians,2.0,9,22.22222222222222
TD Paine,Royal Challengers Bangalore,8.0,20,40.0
TL Suman,Chennai Super Kings,86.0,70,122.85714285714286
TL Suman,Delhi Capitals,84.0,72,116.66666666666667
TL Suman,Kolkata Knight Riders,59.0,56,105.35714285714286
TL Suman,Mumbai Indians,46.0,47,97.87234042553192
TL Suman,Punjab Kings,100.0,78,128.2051282051282
TL Suman,Rajasthan Royals,94.0,82,114.6341463414634
TL Suman,Rising Pune Supergiant,36.0,16,225.0
TL Suman,Royal Challengers Bangalore,100.0,84,119.04761904761905
TL Suman,Sunrisers Hyderabad,19.0,24,79.16666666666666
TM Dilshan,Chennai Super Kings,79.0,68,116.1764705882353
TM Dilshan,Delhi Capitals,0.0,1,0.0
TM Dilshan,Kochi Tuskers Kerala,53.0,36,147.22222222222223
TM Dilshan,Kolkata Knight Riders,107.0,92,116.30434782608697
TM Dilshan,Mumbai Indians,136.0,128,106.25
TM Dilshan,Punjab Kings,34.0,38,89.47368421052632
TM Dilshan,Rajasthan Royals,205.0,175,117.14285714285715
TM Dilshan,Rising Pune Supergiant,31.0,44,70.45454545454545
TM Dilshan,Royal Challengers Bangalore,71.0,59,120.33898305084745
TM Dilshan,Sunrisers Hyderabad,259.0,204,126.96078431372548
TM Srivastava,Delhi Capitals,7.0,9,77.77777777777779
TM Srivastava,Kolkata Knight Riders,1.0,1,100.0
TM Srivastava,Royal Challengers Bangalore,0.0,1,0.0
TR Birt,Kochi Tuskers Kerala,47.0,28,167.85714285714286
TR Birt,Kolkata Knight Riders,8.0,11,72.72727272727273
TR Birt,Punjab Kings,16.0,11,145.45454545454547
TR Birt,Sunrisers Hyderabad,4.0,9,44.44444444444444
U Kaul,Chennai Super Kings,0.0,1,0.0
UBT Chand,Mumbai Indians,0.0,2,0.0
UBT Chand,Rajasthan Royals,2.0,10,20.0
UT Yadav,Kolkata Knight Riders,1.0,1,100.0
UT Yadav,Mumbai Indians,0.0,5,0.0
UT Yadav,Sunrisers Hyderabad,3.0,4,75.0
Umar Gul,Punjab Kings,24.0,11,218.18181818181816
Umar Gul,Rajasthan Royals,9.0,6,150.0
Umar Gul,Royal Challengers Bangalore,6.0,2,300.0
V Kohli,Chennai Super Kings,381.0,315,120.95238095238095
V Kohli,Delhi Capitals,138.0,107,128.97196261682242
V Kohli,Kochi Tuskers Kerala,50.0,52,96.15384615384616
V Kohli,Kolkata Knight Riders,91.0,95,95.78947368421052
V Kohli,Mumbai Indians,162.0,142,114.08450704225352
V Kohli,Punjab Kings,218.0,208,104.8076923076923
V Kohli,Rajasthan Royals,125.0,136,91.91176470588235
V Kohli,Rising Pune Supergiant,83.0,62,133.8709677419355
V Kohli,Sunrisers Hyderabad,264.0,189,139.68253968253967
V Pratap Singh,Mumbai Indians,0.0,1,0.0
V Sehwag,Chennai Super Kings,211.0,135,156.29629629629628
V Sehwag,Kochi Tuskers Kerala,95.0,57,166.66666666666669
V Sehwag,Kolkata Knight Riders,149.0,93,160.21505376344086
V Sehwag,Mumbai Indians,280.0,190,147.36842105263156
V Sehwag,Punjab Kings,189.0,107,176.6355140186916
V Sehwag,Rajasthan Royals,284.0,177,160.45197740112997
V Sehwag,Rising Pune Supergiant,181.0,106,170.75471698113208
